City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hasaki,JP,35.7333,140.8333,54.28,54,17,13.27,few clouds
1,Port Alfred,ZA,-33.5906,26.891,68.27,93,100,25.41,light rain
2,Cape Town,ZA,-33.9258,18.4232,64.11,88,75,5.99,broken clouds
3,Ribeira Grande,PT,38.5167,-28.7,63.66,74,30,13.02,scattered clouds
4,Busselton,AU,-33.65,115.3333,86.09,31,45,10.45,scattered clouds
5,Khatanga,RU,71.9667,102.5,-23.6,96,100,12.41,overcast clouds
6,Viedma,AR,-40.8135,-62.9967,56.62,57,5,11.81,clear sky
7,Shelbyville,US,35.4834,-86.4603,60.12,42,90,1.01,overcast clouds
8,Upernavik,GL,72.7868,-56.1549,20.3,75,100,6.62,overcast clouds
9,Tasiilaq,GL,65.6145,-37.6368,26.76,91,100,49.66,snow
10,Jamestown,US,42.097,-79.2353,36.99,88,1,1.99,clear sky
11,Kvitok,RU,56.0724,98.4813,21.74,82,100,12.71,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,48.31,57,75,10.36,broken clouds
13,Gat,IL,31.61,34.7642,58.91,12,76,8.12,broken clouds
14,Bull Savanna,JM,17.8868,-77.5902,74.01,85,84,6.13,broken clouds
15,Shingu,JP,33.7333,135.9833,54.59,53,0,4.88,clear sky
16,Puerto Ayora,EC,-0.7393,-90.3518,68.31,92,34,6.44,scattered clouds
17,Ostrovnoy,RU,68.0531,39.5131,5.95,95,83,8.52,broken clouds
18,Tuatapere,NZ,-46.1333,167.6833,52.83,88,100,6.62,light rain
19,Vryburg,ZA,-26.9566,24.7284,64.65,85,100,17.05,overcast clouds
20,Sokoto,NG,13.0609,5.239,68.81,19,4,10.36,clear sky
21,Victoria,HK,22.2855,114.1577,71.26,45,87,1.01,overcast clouds
22,Ilulissat,GL,69.2167,-51.1,37.42,41,100,36.82,light rain
23,Vila Velha,BR,-20.3297,-40.2925,73.35,91,75,2.3,broken clouds
24,Nova Olinda Do Norte,BR,-3.8881,-59.0942,74.25,96,51,1.7,broken clouds
25,Kruisfontein,ZA,-34.0033,24.7314,60.89,97,100,15.32,light rain
26,Rikitea,PF,-23.1203,-134.9692,76.05,73,92,9.19,overcast clouds
27,Omboue,GA,-1.5746,9.2618,76.84,93,99,6.17,light rain
28,Yellowknife,CA,62.456,-114.3525,-25.08,75,75,5.75,light snow
29,Kasamwa,TZ,-2.85,32.4333,66.07,87,92,2.91,overcast clouds
30,Naze,JP,28.3667,129.4833,61.72,64,95,10.71,overcast clouds
31,Kodiak,US,57.79,-152.4072,20.71,79,1,3.44,light snow
32,Acapulco,MX,16.8634,-99.8901,78.39,74,24,4.43,few clouds
33,Alamogordo,US,32.8995,-105.9603,56.21,37,75,0.0,broken clouds
34,Ushuaia,AR,-54.8,-68.3,46.06,61,75,19.57,broken clouds
35,Albany,US,42.6001,-73.9662,37.35,76,35,7.92,scattered clouds
36,Cidreira,BR,-30.1811,-50.2056,70.09,83,81,17.67,broken clouds
37,Nanortalik,GL,60.1432,-45.2371,32.77,99,100,14.0,snow
38,Sitka,US,57.0531,-135.33,30.09,86,75,4.61,light snow
39,Uribia,CO,11.7139,-72.266,79.3,79,85,14.63,overcast clouds
40,Mtambile,TZ,-5.3833,39.7,78.42,79,5,1.95,light rain
41,Barrow,US,71.2906,-156.7887,17.62,67,20,29.93,few clouds
42,Richards Bay,ZA,-28.783,32.0377,71.4,96,100,11.21,light rain
43,Shumskiy,RU,54.8318,99.1328,24.96,66,98,10.87,overcast clouds
44,Nantucket,US,41.2835,-70.0995,45.97,70,1,12.66,clear sky
45,Te Anau,NZ,-45.4167,167.7167,43.79,97,100,4.92,light rain
46,Kudahuvadhoo,MV,2.6708,72.8944,82.18,77,23,11.3,few clouds
47,Lesnoy,RU,57.6198,63.0784,34.03,98,100,10.33,light rain
48,Mar Del Plata,AR,-38.0023,-57.5575,61.09,88,90,1.01,moderate rain
49,Jambi,ID,-1.6,103.6167,82.38,73,100,3.56,heavy intensity rain
50,Morro Bay,US,35.3658,-120.8499,54.91,89,5,1.99,clear sky
51,Laguna,US,38.421,-121.4238,54.23,95,90,0.0,mist
52,Miles City,US,46.4083,-105.8406,34.77,69,1,14.97,clear sky
53,Vardo,NO,70.3705,31.1107,20.62,69,43,30.69,scattered clouds
54,Zaraza,VE,9.3503,-65.3245,73.22,91,66,4.85,broken clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,72.3,82,4,9.98,clear sky
56,Atuona,PF,-9.8,-139.0333,78.66,75,7,16.37,clear sky
57,Nikolskoye,RU,59.7035,30.7861,10.02,93,87,6.4,overcast clouds
58,Port Hardy,CA,50.6996,-127.4199,39.2,93,1,9.22,clear sky
59,Marechal Candido Rondon,BR,-24.5561,-54.0567,69.26,61,81,3.33,broken clouds
60,Hithadhoo,MV,-0.6,73.0833,81.86,79,70,13.85,broken clouds
61,Fria,GN,10.4167,-13.5833,72.21,98,15,2.66,few clouds
62,Avarua,CK,-21.2078,-159.775,78.85,89,20,4.61,few clouds
63,Kapaa,US,22.0752,-159.319,71.92,75,90,1.01,light rain
64,Hermanus,ZA,-34.4187,19.2345,62.91,93,100,19.86,light rain
65,Jedrzejow,PL,50.6394,20.3045,34.2,67,100,3.0,overcast clouds
66,Pingliang,CN,35.5392,106.6861,47.98,15,0,2.42,clear sky
67,Goderich,CA,43.7501,-81.7165,35.92,51,100,13.8,overcast clouds
68,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.22,93,97,3.06,light rain
69,Bredasdorp,ZA,-34.5322,20.0403,59.29,95,100,19.08,moderate rain
70,Hobart,AU,-42.8794,147.3294,74.01,48,40,1.01,scattered clouds
71,San Rafael,AR,-34.6177,-68.3301,62.98,74,100,3.8,overcast clouds
72,Dikson,RU,73.5069,80.5464,-8.07,98,100,23.8,light snow
73,Carnarvon,AU,-24.8667,113.6333,82.47,61,0,8.05,clear sky
74,Bethel,US,41.3712,-73.414,41.49,79,1,3.44,clear sky
75,Bluff,NZ,-46.6,168.3333,52.81,77,100,10.8,overcast clouds
76,Chippewa Falls,US,44.9369,-91.3929,32.18,65,90,5.75,overcast clouds
77,Clarence Town,AU,-32.5833,151.7833,70.95,71,98,9.55,overcast clouds
78,Breytovo,RU,58.2993,37.8617,6.76,88,100,6.71,overcast clouds
79,Bani Walid,LY,31.7566,13.9942,46.76,64,0,9.8,clear sky
80,Payo,ID,-3.7508,103.6372,76.1,90,100,2.8,moderate rain
81,Hilo,US,19.7297,-155.09,68.25,93,90,3.44,light rain
82,Mataura,NZ,-46.1927,168.8643,52.48,99,100,4.97,overcast clouds
83,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,100,75,6.26,broken clouds
84,Ambilobe,MG,-13.2,49.05,81.19,60,33,5.97,scattered clouds
85,Zaozerne,UA,45.1582,33.2787,41.95,88,99,7.58,overcast clouds
86,Maniitsoq,GL,65.4167,-52.9,36.66,71,100,36.48,light rain
87,Homer,US,59.6425,-151.5483,19.27,91,40,0.0,scattered clouds
88,Lipari,IT,38.4674,14.954,56.91,69,38,16.33,scattered clouds
89,Nsanje,MW,-16.92,35.262,80.22,59,1,1.86,clear sky
90,Hofn,IS,64.2539,-15.2082,29.25,60,30,7.87,scattered clouds
91,Chama,CH,47.1821,8.4636,39.36,84,98,2.98,overcast clouds
92,Kindersley,CA,51.4668,-109.1682,26.38,93,90,2.3,overcast clouds
93,Paita,PE,-5.0892,-81.1144,66.88,80,86,10.63,overcast clouds
94,Nadvoitsy,RU,63.8667,34.3167,0.46,91,6,6.22,clear sky
95,Broken Hill,AU,-31.95,141.4333,76.71,27,89,8.05,overcast clouds
96,Airai,TL,-8.9266,125.4092,74.1,66,100,1.34,overcast clouds
97,Columbus,US,39.9612,-82.9988,36.16,80,20,0.0,few clouds
98,Kichera,RU,55.9375,110.0997,20.77,79,100,7.38,overcast clouds
99,New Norfolk,AU,-42.7826,147.0587,73.65,31,1,5.01,clear sky
100,Iqaluit,CA,63.7506,-68.5145,6.53,84,90,31.0,light snow
101,Mount Gambier,AU,-37.8333,140.7667,71.51,35,0,16.11,clear sky
102,Saint-Philippe,RE,-21.3585,55.7679,81.99,77,39,11.59,scattered clouds
103,Okha,RU,53.5739,142.9478,7.09,82,98,13.04,overcast clouds
104,Tatarsk,RU,55.219,75.9828,28.92,94,92,13.53,overcast clouds
105,East London,ZA,-33.0153,27.9116,67.14,100,90,14.97,light rain
106,Ler,SS,8.3018,30.1418,75.87,37,39,5.19,scattered clouds
107,Sao Filipe,CV,14.8961,-24.4956,75.15,75,100,9.17,overcast clouds
108,Narasannapeta,IN,18.4167,84.05,71.6,88,100,6.6,overcast clouds
109,Marsa Matruh,EG,31.3525,27.2453,55.6,67,0,14.97,clear sky
110,Oussouye,SN,12.485,-16.5469,73.58,71,100,6.44,overcast clouds
111,Norman Wells,CA,65.282,-126.8329,-36.36,67,20,4.61,few clouds
112,Georgetown,MY,5.4112,100.3354,86.9,69,20,3.0,few clouds
113,Lodja,CD,-3.4833,23.4333,67.55,100,97,1.99,light rain
114,Buin,CL,-33.7333,-70.75,75.74,40,0,0.85,clear sky
115,Seoul,KR,37.5683,126.9778,45.01,36,0,3.44,clear sky
116,Shubarshi,KZ,48.5872,57.1869,27.95,70,22,6.67,few clouds
117,Bataipora,BR,-22.2953,-53.2711,75.04,48,91,4.12,overcast clouds
118,Port Moresby,PG,-9.4431,147.1797,85.42,74,75,11.5,broken clouds
119,Ahipara,NZ,-35.1667,173.1667,72.72,70,29,12.82,scattered clouds
120,Half Moon Bay,US,37.4636,-122.4286,54.79,89,90,8.05,overcast clouds
121,Buluang,PH,13.3068,123.3425,83.32,56,74,10.36,broken clouds
122,Bonavista,CA,48.6499,-53.1147,30.11,58,90,25.43,overcast clouds
123,Akranes,IS,64.3218,-22.0749,36.16,72,100,23.26,overcast clouds
124,Conde,BR,-7.2597,-34.9075,78.26,94,75,5.75,broken clouds
125,Mossendjo,CG,-2.9506,12.7261,70.45,100,93,0.92,overcast clouds
126,Butaritari,KI,3.0707,172.7902,83.14,79,100,18.59,overcast clouds
127,Kropotkin,RU,45.4375,40.5756,48.63,83,100,12.3,moderate rain
128,Seddon,AU,-37.8068,144.8916,73.22,48,40,11.5,scattered clouds
129,Castro,BR,-24.7911,-50.0119,57.96,99,46,5.82,scattered clouds
130,Porto Recanati,IT,43.4365,13.6613,56.25,49,100,6.82,overcast clouds
131,Jabinyanah,TN,35.035,10.9081,46.2,51,0,14.47,clear sky
132,Leshukonskoye,RU,64.8989,45.7622,2.35,98,66,5.21,broken clouds
133,Awjilah,LY,29.1081,21.2869,54.43,78,4,10.16,clear sky
134,Eseka,CM,3.65,10.7667,73.78,97,100,1.19,moderate rain
135,Leningradskiy,RU,69.3833,178.4167,-21.51,93,56,4.83,broken clouds
136,Santa Maria,BR,-29.6842,-53.8069,72.7,73,0,11.5,clear sky
137,La Rioja,ES,42.25,-2.5,36.48,91,93,6.6,overcast clouds
138,Caravelas,BR,-17.7125,-39.2481,70.92,94,5,3.69,light rain
139,Maragogi,BR,-9.0122,-35.2225,77.16,86,64,8.79,broken clouds
140,Novaya Lyalya,RU,59.055,60.599,10.51,90,100,6.33,overcast clouds
141,Sile,TR,41.1754,29.6133,54.57,77,86,6.51,overcast clouds
142,Santiago Del Estero,AR,-27.7951,-64.2615,69.8,50,100,3.8,overcast clouds
143,Jizan,SA,17.3333,42.6667,74.34,69,0,4.83,clear sky
144,Omsukchan,RU,62.5333,155.8,-34.49,96,18,4.07,few clouds
145,Kavieng,PG,-2.5744,150.7967,81.46,82,100,16.64,moderate rain
146,Rocha,UY,-34.4833,-54.3333,59.05,96,92,3.78,overcast clouds
147,Gympie,AU,-26.1898,152.665,78.17,65,85,9.22,overcast clouds
148,Pacific Grove,US,36.6177,-121.9166,54.66,85,90,1.99,overcast clouds
149,Ankang,CN,32.68,109.0172,55.2,48,0,1.72,clear sky
150,San Patricio,US,28.017,-97.5169,73.89,85,100,10.6,overcast clouds
151,Aitape,PG,-3.1374,142.3475,84.24,74,98,9.04,overcast clouds
152,Uusikaupunki,FI,60.8004,21.4084,5.52,83,38,11.63,scattered clouds
153,Codrington,AU,-38.2667,141.9667,62.69,47,0,14.38,clear sky
154,Sinnamary,GF,5.3833,-52.95,76.57,91,100,7.78,overcast clouds
155,Veraval,IN,20.9,70.3667,77.45,59,3,9.6,clear sky
156,Christiana,ZA,-27.914,25.1611,62.58,83,100,16.58,light rain
157,Lagos,NG,6.5833,3.75,80.92,90,84,3.06,broken clouds
158,Mayo,US,38.8876,-76.5119,50.05,72,1,1.01,clear sky
159,Lamar,US,33.6668,-95.5836,66.36,94,90,5.75,overcast clouds
160,Boksitogorsk,RU,59.474,33.8485,2.89,93,100,6.04,overcast clouds
161,Lorengau,PG,-2.0226,147.2712,81.25,85,100,16.4,heavy intensity rain
162,Rockland,US,41.1668,-74.0496,43.45,77,47,5.1,scattered clouds
163,Lata,PT,40.1629,-8.3327,51.82,78,81,7.85,broken clouds
164,San Quintin,MX,30.4833,-115.95,58.23,88,69,12.82,broken clouds
165,Sabha,LY,27.0377,14.4283,46.38,54,12,5.68,few clouds
166,Fortuna,US,40.5982,-124.1573,51.42,94,90,1.99,overcast clouds
167,Thompson,CA,55.7435,-97.8558,-14.64,84,40,5.75,scattered clouds
168,Khambhaliya,IN,22.2072,69.6683,71.11,43,30,12.44,scattered clouds
169,Bor,RU,56.3567,44.0669,26.53,80,98,7.94,overcast clouds
170,Severo-Kurilsk,RU,50.6789,156.125,31.28,68,91,23.73,overcast clouds
171,Aklavik,CA,68.2191,-135.0107,-21.17,85,5,8.21,clear sky
172,Maarianhamina,AX,60.0973,19.9348,15.66,86,90,10.36,light snow
173,Tigil,RU,57.8,158.6667,20.61,94,100,17.4,light snow
174,Saint Anthony,US,45.0205,-93.218,30.4,87,90,1.99,snow
175,Vaini,TO,-21.2,-175.2,84.36,65,40,12.66,scattered clouds
176,Bowling Green,US,36.9903,-86.4436,54.12,58,90,6.91,overcast clouds
177,Ardakan,IR,32.31,54.0175,44.98,38,5,4.99,clear sky
178,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,18.41,few clouds
179,Qaanaaq,GL,77.484,-69.3632,5.86,63,96,7.56,overcast clouds
180,Chokurdakh,RU,70.6333,147.9167,-41.6,100,57,3.65,broken clouds
181,Namatanai,PG,-3.6667,152.4333,86.25,67,100,11.52,light rain
182,Karema,TZ,-6.8205,30.4389,73.42,63,60,4.18,broken clouds
183,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.89,80,0,2.75,clear sky
184,Souillac,MU,-20.5167,57.5167,82.36,69,40,9.22,scattered clouds
185,Baykit,RU,61.67,96.37,-1.21,96,100,3.53,overcast clouds
186,Suntar,RU,62.1444,117.6319,6.4,82,80,11.63,broken clouds
187,Santarem,BR,-2.4431,-54.7083,75.33,94,75,0.0,broken clouds
188,Manggar,ID,-2.8833,108.2667,77.86,88,97,12.64,light rain
189,Brits,ZA,-25.6347,27.7802,66.81,80,100,7.45,light rain
190,Cessnock,AU,-32.8333,151.35,70.23,76,100,9.31,overcast clouds
191,Yangambi,CD,0.8102,24.4336,70.54,99,100,2.28,light rain
192,Samarai,PG,-10.6167,150.6667,84.65,72,97,9.1,overcast clouds
193,Nador,MA,35.174,-2.9287,61.05,72,0,23.02,clear sky
194,Cap Malheureux,MU,-19.9842,57.6142,82.47,67,4,8.01,clear sky
195,Jumla,NP,29.2747,82.1838,55.15,35,0,2.91,clear sky
196,Bambous Virieux,MU,-20.3428,57.7575,82.22,69,40,9.22,scattered clouds
197,Inuvik,CA,68.3499,-133.7218,-15.59,73,1,4.61,clear sky
198,Visby,SE,57.6409,18.296,29.05,80,23,8.05,few clouds
199,Raudeberg,NO,61.9875,5.1352,36.27,92,100,1.01,overcast clouds
200,Ransang,PH,8.9603,117.5828,84.0,72,17,5.66,few clouds
201,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,18.41,broken clouds
202,Pevek,RU,69.7008,170.3133,-26.14,99,24,5.39,few clouds
203,Margate,GB,51.3813,1.3862,40.96,84,100,10.0,overcast clouds
204,Arlit,NE,18.7369,7.3853,65.59,21,52,4.9,broken clouds
205,Irbeyskoye,RU,55.6428,95.4522,24.31,78,100,13.02,overcast clouds
206,Kutum,SD,14.2,24.6667,62.55,32,4,6.08,clear sky
207,Andenes,NO,69.3143,16.1194,14.07,73,2,10.36,clear sky
208,Constitucion,CL,-35.3333,-72.4167,61.34,57,0,8.01,clear sky
209,Mahebourg,MU,-20.4081,57.7,82.26,69,40,9.22,scattered clouds
210,Pimentel,PE,-6.8367,-79.9342,66.06,86,100,12.5,overcast clouds
211,Cabo San Lucas,MX,22.8909,-109.9124,77.5,72,1,0.0,clear sky
212,San Juan,AR,-31.5375,-68.5364,66.7,62,97,5.32,overcast clouds
213,Lebu,CL,-37.6167,-73.65,52.97,89,0,17.2,clear sky
214,Torbay,CA,47.6666,-52.7314,30.67,59,1,23.02,clear sky
215,Walvis Bay,NA,-22.9575,14.5053,58.08,82,0,2.3,clear sky
216,Poum,NC,-20.2333,164.0167,81.36,72,6,7.31,clear sky
217,Arman,RU,59.7,150.1667,-15.99,96,48,4.88,scattered clouds
218,Esquipulas,GT,14.5667,-89.35,62.47,98,49,6.02,scattered clouds
219,Ponferrada,ES,42.5466,-6.5962,45.21,91,98,5.99,overcast clouds
220,Srednekolymsk,RU,67.45,153.6833,-45.56,100,59,1.92,broken clouds
221,Aldan,RU,58.6031,125.3894,21.27,89,100,16.17,light snow
222,Lompoc,US,34.6391,-120.4579,55.13,85,1,0.0,clear sky
223,Coihaique,CL,-45.5752,-72.0662,57.15,62,75,4.61,broken clouds
224,Chuy,UY,-33.6971,-53.4616,63.09,94,92,7.16,overcast clouds
225,Saskylakh,RU,71.9167,114.0833,-17.23,97,100,10.83,overcast clouds
226,Saryozek,KZ,44.3583,77.9753,43.79,42,100,1.3,overcast clouds
227,Punta Alta,AR,-38.8759,-62.0736,53.65,75,81,8.75,broken clouds
228,Port Blair,IN,11.6667,92.75,82.42,69,68,12.41,broken clouds
229,Cherdyn,RU,60.403,56.4787,21.47,96,100,5.3,overcast clouds
230,Teacapan,MX,22.55,-105.75,73.26,77,86,4.85,overcast clouds
231,Naifaru,MV,5.4444,73.3657,82.63,74,73,9.15,broken clouds
232,Maumere,ID,-8.6199,122.2111,84.88,69,97,6.38,light rain
233,Netivot,IL,31.4222,34.5886,58.62,41,68,8.03,broken clouds
234,Batticaloa,LK,7.7102,81.6924,81.27,78,0,2.95,clear sky
235,Vila,PT,42.0304,-8.1588,43.32,82,71,6.51,broken clouds
